,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
1215,Land Rover,Discovery,3.0 Hse Luxury Petrol,"2,92,667",4WD,BS IV,89 litres,Petrol,4988 mm,SUV,5,9.17 km/litre,7,Automatic,,
1216,Lexus,Ls 500H,Luxury,"2,92,667",AWD ,BS IV,82 litres,Hybrid,5235 mm,SUV,4,15.4 km/litre,5,Automatic,,
1217,Lexus,Ls 500H,Ultra Luxury,"2,92,667",AWD ,BS IV,82 litres,Hybrid,5235 mm,SUV,4,15.4 km/litre,5,Automatic,,
1218,Lexus,Ls 500H,Distinct,"2,92,667",AWD ,BS IV,82 litres,Hybrid,5235 mm,SUV,4,15.4 km/litre,5,Automatic,,
1219,,Rolls-Royce Phantom,Sedan,"2,92,667",RWD ,BS IV,100 litres,Petrol,5842 mm,Sedan,4,23 km/litre,5,Automatic,,
1220,,Rolls-Royce Phantom,Ewb,"2,92,667",RWD ,BS IV,100 litres,Petrol,6092 mm,Sedan,4,23 km/litre,5,Automatic,,
1221,Fiat,Punto Evo,Dynamic 1.2,"2,92,667",FWD ,BS IV,45 litres,Petrol,3989 mm,Hatchback,5,15.7 km/litre,5,Manual,,
1222,Fiat,Punto Evo,Active Multijet 1.3,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Hatchback,5,20.5 km/litre,5,Manual,,
1223,Fiat,Punto Evo,Dynamic Multijet 1.3,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Hatchback,5,20.3 km/litre,5,Manual,,
1224,Fiat,Punto Evo,Emotion Multijet 1.3,"2,92,667",FWD ,BS IV,45 litres,Diesel,3989 mm,Hatchback,5,21.2 km/litre,5,Manual,,
1225,Toyota,Yaris,J,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1226,Toyota,Yaris,G,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1227,Toyota,Yaris,V,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1228,Toyota,Yaris,Vx Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.8 km/litre,5,Automatic,,
1229,Toyota,Yaris,G Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.8 km/litre,5,Automatic,,
1230,Toyota,Yaris,J Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.8 km/litre,5,Automatic,,
1231,Toyota,Yaris,V Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.8 km/litre,5,Automatic,,
1232,Toyota,Yaris,Vx,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1233,Toyota,Yaris,V (O),"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1234,Toyota,Yaris,J (O),"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1235,Toyota,Yaris,G (O),"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Manual,,
1236,Toyota,Yaris,J (O) Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Automatic,,
1237,Toyota,Yaris,G (O) Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Automatic,,
1238,Toyota,Yaris,V (O) Cvt,"2,92,667",FWD ,BS IV,42 litres,Petrol,4425 mm,Sedan,4,17.1 km/litre,5,Automatic,,
1239,Skoda,Octavia,Ambition 1.4 Tsi,"2,92,667",FWD ,BS IV,50 litres,Petrol,4670 mm,Sedan,4,16.7 km/litre,5,Manual,,
1240,Skoda,Octavia,Ambition 2.0 Tdi Cr,"2,92,667",FWD ,BS IV,50 litres,Diesel,4670 mm,Sedan,4,21 km/litre,5,Manual,,
1241,Skoda,Octavia,Style 1.4 Tsi,"2,92,667",FWD ,BS IV,50 litres,Petrol,4670 mm,Sedan,4,16.7 km/litre,5,Manual,,
1242,Skoda,Octavia,Style 1.8 Tsi At,"2,92,667",FWD ,BS IV,50 litres,Petrol,4670 mm,Sedan,4,15.1 km/litre,5,Automatic,,
1243,Skoda,Octavia,Style 2.0 Tdi Cr,"2,92,667",FWD ,BS IV,50 litres,Diesel,4670 mm,Sedan,4,21 km/litre,5,Manual,,
1244,Skoda,Octavia,Style 2.0 Tdi Cr At,"2,92,667",FWD ,BS IV,50 litres,Diesel,4670 mm,Sedan,4,19.5 km/litre,5,Automatic,,
1245,Skoda,Octavia,L & K 1.8 Tsi At,"2,92,667",FWD ,BS IV,50 litres,Petrol,4670 mm,Sedan,4,15.1 km/litre,5,Automatic,,
1246,Skoda,Octavia,L & K 2.0 Tdi Cr At,"2,92,667",FWD ,BS IV,50 litres,Diesel,4670 mm,Sedan,4,19.5 km/litre,5,Automatic,,
1247,Skoda,Octavia,Corporate Edition 1.4 Tsi,"2,92,667",FWD ,BS IV,50 litres,Petrol,4670 mm,Sedan,4,16.7 km/litre,5,Manual,,
1248,Skoda,Octavia,Corporate Edition 2.0 Tdi,"2,92,667",FWD ,BS IV,50 litres,Diesel,4670 mm,Sedan,4,21 km/litre,5,Manual,,
1249,Skoda,Octavia,Onyx 1.8 Tsi Dsg,"2,92,667",FWD ,BS IV,50 litres,Petrol,4670 mm,Sedan,4,15.1 km/litre,5,Automatic,,
1250,Skoda,Octavia,Onyx 2.0 Tdi Dsg,"2,92,667",FWD ,BS IV,50 litres,Diesel,4670 mm,Sedan,4,19.5 km/litre,5,Automatic,,
